Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw493,BW29,Clicks,11/29/2016 2:33:44,11/29/2016 2:34:59,
Antarc_EIE_01,jst_bw494,BW29,Clicks,11/29/2016 2:36:14,11/29/2016 2:37:29,
Antarc_EIE_01,jst_bw495,BW29,Clicks,11/29/2016 2:41:14,11/29/2016 2:44:59,
Antarc_EIE_01,jst_bw496,BW29,Clicks,11/29/2016 2:47:29,11/29/2016 2:51:14,
Antarc_EIE_01,jst_bw497,BW29,Clicks,11/29/2016 4:31:14,11/29/2016 4:33:44,
Antarc_EIE_01,jst_bw498,BW29,Clicks,11/29/2016 4:36:14,11/29/2016 4:37:29,
Antarc_EIE_01,jst_bw499,BW29,Clicks,11/29/2016 4:38:44,11/29/2016 4:41:14,
Antarc_EIE_01,jst_bw500,BW29,Clicks,11/29/2016 6:21:14,11/29/2016 6:33:44,
Antarc_EIE_01,jst_bw501,BW29,Clicks,11/29/2016 7:21:14,11/29/2016 7:24:59,
Antarc_EIE_01,jst_bw502,BW29,Clicks,11/29/2016 7:26:14,11/29/2016 7:28:44,
Antarc_EIE_01,jst_bw503,BW29,Clicks,11/29/2016 7:31:14,11/29/2016 7:32:29,
Antarc_EIE_01,jst_bw504,BW29,Clicks,11/29/2016 7:38:44,11/29/2016 7:44:59,
Antarc_EIE_01,jst_bw505,BW29,Clicks,11/29/2016 8:16:14,11/29/2016 8:34:59,
Antarc_EIE_01,jst_bw506,BW29,Clicks,11/29/2016 8:39:59,11/29/2016 8:41:14,
Antarc_EIE_01,jst_bw507,BW29,Clicks,11/29/2016 9:01:14,11/29/2016 9:04:59,
Antarc_EIE_01,jst_bw508,BW29,Clicks,11/29/2016 9:07:29,11/29/2016 9:11:14,
Antarc_EIE_01,jst_bw509,BW29,Clicks,11/29/2016 9:12:29,11/29/2016 9:13:44,
Antarc_EIE_01,jst_bw510,BW29,Clicks,11/29/2016 9:16:14,11/29/2016 9:17:29,
